title,author,genre,rating,status,origin_country,year
A Man Called Ove,Fredrik Backman,Fiction,,,Sweden,2012
Marple,Agatha Christie et al.,Mystery,,,United Kingdom,2022
The Great Lighthouses of Ireland,David McWilliams (narrative),History,,,Ireland,2018
Epic Road Trips of Europe,N/A,Travel,,,N/A,2021
National Gallery Illustrations: British School,Charles Holroyd (intro),Reference,,,United Kingdom,1910
The Capuchin Annual 1977,Capuchin Publications,History,,,Ireland,1977
Me Jewel and Darlin' Dublin,Eamon Kelly,History,,,Ireland,1978
The Gladstone Diaries Volume 5,W.E. Gladstone (ed. H.C.G. Matthew),Biography,,,United Kingdom,1986
Female Education in Ireland 1700–1900,Maria Luddy,History,,,Ireland,2005
All in a Life: Garret Fitzgerald,Garret Fitzgerald,Biography,,,Ireland,1991
The Gladstone Diaries Volume 6,W.E. Gladstone (ed. H.C.G. Matthew),Biography,,,United Kingdom,1994
Selected Modern English Essays,Various,Essays,,,United Kingdom,1932
Charles Rennie Mackintosh,Alan Crawford,Biography,,,United Kingdom,1995
The Irish Question & British Politics 1868–1986,Paul Adelman,History,,,United Kingdom,1994
Louis XIV,Vincent Cronin,Biography,,,United Kingdom,1970
In Dark and Evil Days,Olivia Manning,Fiction,,,United Kingdom,1957
Higher English Poetry: How to Know Good Poetry and to Say Why It Is Good,N/A,Poetry,,,N/A,N/A
One Good Turn,Kate Atkinson,Mystery,,,United Kingdom,2006
The Capuchin Annual 1948,Capuchin Publications,History,,,Ireland,1948
The Capuchin Annual 1942,Capuchin Publications,History,,,Ireland,1942
Sherston's Progress,Siegfried Sassoon,Biography,,,United Kingdom,1936
Yoga for You and Your Child,Indra Devi,Psychology,,,India,1959
Classic Paul Simon: The Simon and Garfunkel Years,Paul Simon,Reference,,,United States,1992
Belvedere Gallery Guide,Belvedere Gallery,Reference,,,Ireland,2005
Sentinels of the Ocean,N/A,Science,,,N/A,N/A
Irish Fairy Tales & Legends,W.B. Yeats (ed.),Children,,,Ireland,1888
The Usborne First Atlas,Usborne Books,Children,,,United Kingdom,2005
English Heritage: Hadrian's Wall,English Heritage,History,,,United Kingdom,2001
The History of Scotland for Children,N/A,Children,,,N/A,N/A
Pathfinders: Earthquakes and Volcanoes,N/A,Children,,,N/A,1994
The Orchard Book of Bible Stories,Christina Goodings,Children,,,United Kingdom,1996
Flowers in a Chinese Vase,N/A,Reference,,,N/A,N/A
The Far Side Gallery 3,Gary Larson,Essays,,,United States,1988
The Story of Clan MacBleat,N/A,Children,,,N/A,N/A
Cuddle Up Tight,N/A,Children,,,N/A,N/A
Around the World with Lively Lady,Alec Rose,Biography,,,United Kingdom,1968
Charlie Cook's Favourite Book,Julia Donaldson,Children,,,United Kingdom,2005
The Atlas of Endangered Animals,N/A,Children,,,N/A,2000
Journey Through Germany,N/A,Travel,,,N/A,N/A
E Is for Enchantment,N/A,Children,,,N/A,N/A
Minnie and Her Baby Brother,N/A,Children,,,N/A,N/A
The Complete Book of Dinosaurs,N/A,Children,,,N/A,1993
The New Complete Guitarist,Richard Chapman,Reference,,,United Kingdom,1993
Life in the Freezer,David Attenborough,Science,,,United Kingdom,1993
The Book of Granada and the Alhambra,N/A,Travel,,,N/A,N/A
The Loire Castles,N/A,Travel,,,N/A,N/A
Blanca's Feather,N/A,Children,,,N/A,N/A
Longwood Gardens,N/A,Travel,,,United States,2009
Albert Le Blanc to the Rescue!,Nick Butterworth,Children,,,United Kingdom,2003
Do You Know Pippi Longstocking?,Astrid Lindgren,Children,,,Sweden,1947
The First Christmas,N/A,Children,,,N/A,N/A
Kids,Catherine Anholt & Laurence Anholt,Children,,,United Kingdom,1994
Concelebration Book,N/A,Religion,,,N/A,N/A
Can We Save the Tiger?,Martin Jenkins,Children,,,United Kingdom,2008
Great Britain Road Atlas,N/A,Reference,,,United Kingdom,2020
"Milan: Churches, Museums and Monuments",N/A,Travel,,,Italy,2005
Waterford Whispers News 2018 (x2),Colm Williamson,Essays,,,Ireland,2018
